Class_Label,lemmatized_tokens
Normal,"['let', 'know', 'get', 'quote', 'pay', 'something', 'range', 'would', 'like', 'see', 'quote', 'description', 'work', 'done', 'understanding', 'rock', 'removed', 'siding', 'getting', 'quote', 'put', 'new', 'rock', 'need', 'clarify', 'ready', 'drop', 'dollar', 'amount', 'release', 'negotiation', 'stall', 'like', 'need', 'go', 'ahead', 'cut', 'utility', 'hopefully', 'thing', 'go', 'smoothly']"
Normal,"['eric', 'instruction', 'meeting', 'per', 'phon']"
Normal,"['please', 'remove', 'bob', 'thank']"
Normal,"['go', 'ahead', 'order', 'summary', 'rent', 'collected', 'august', 'need', 'finish', 'tax', 'return', 'expense', 'data', 'rent', 'collection', 'number', 'thank']"
Normal,"['detail', 'offer', 'else', 'clean', 'cap', 'good', 'location', 'room', 'expand']"
Normal,"['yard', 'like', 'enough', 'hour', 'long', 'take', 'think', 'enough', 'use', 'page', 'setup', 'file', 'menu', 'change', 'portrait', 'landscape', 'want', 'change', 'printing', 'vertically', 'printing', 'horizontally', 'also', 'try', 'fit', 'one', 'page', 'want', 'print', 'one', 'page', 'use', 'print', 'preview', 'see', 'print', 'look', 'like', 'print', 'truck', 'might', 'need', 'new', 'around', 'mile', 'valve', 'adjustment', 'might', 'good', 'high', 'last', 'mile', 'never', 'broken', 'glad', 'hear', 'good', 'deposit', 'week', 'great', 'job']"
Normal,"['file', 'gas', 'basis', 'mar']"
Normal,"['b', 'western', 'strategy', 'summary', 'slide', 'f']"
Normal,"['let', 'deposit', 'interruption', 'rent']"
Normal,"['team', 'please', 'respond', 'exclusive', 'new', 'animation']"
Normal,"['please', 'switch', 'access', 'central', 'west', 'password', 'thank']"
Normal,"['try', 'attachment', 'attached']"
Normal,"['frank', 'risk', 'san', 'partially', 'set', 'today', 'risk', 'long', 'future', 'position', 'whatever', 'risk', 'prior', 'matter', 'since', 'rest', 'book', 'short', 'price', 'large', 'offset', 'calculation', 'match', 'company', 'true', 'risk', 'need']"
Normal,"['mary', 'transferred', 'account', 'call', 'see', 'new']"
Normal,"['jeff', 'let', 'close', 'march']"
Normal,[]
Normal,"['tara', 'received', 'setting', 'cortez', 'executable', 'id', 'right', 'set', 'fine', 'thank', 'help']"
Normal,"['mary', 'sure', 'attachment', 'right', 'file', 'attached', 'message', 'please', 'try']"
Normal,"['mary', 'got', 'go', 'ahead', 'get', 'carpet', 'shampooer', 'make', 'sure', 'come', 'back', 'clean', 'use', 'wade', 'tenant', 'far', 'w', 'rule', 'social', 'security', 'call', 'later', 'today', 'discus']"
Normal,"['appeal', 'skilling', 'lee', 'amelia', 'storage', 'cycle', 'body', 'shop', 'applaud', 'cycle', 'daily', 'transportation', 'save', 'gas', 'pollution', 'help', 'keep', 'strong', 'healthy', 'bike', 'rack', 'front', 'building', 'request', 'wish', 'could', 'accommodate', 'request', 'however', 'body', 'shop', 'capacity', 'assume', 'responsibility', 'cycle', 'daily', 'basis', 'bring', 'good', 'lock', 'able', 'secure', 'bike', 'outside', 'rack', 'keep', 'lee']"
Normal,"['b', 'western', 'stra']"
Normal,"['w', 'basis', 'quote', 'ill', 'get', 'ba']"
Normal,"['w', 'basis', 'quote', 'ill', 'get', 'ba']"
Normal,"['spoke', 'insurance', 'company', 'going', 'cancel', 'prorate', 'policy', 'work', 'issue', 'new', 'policy']"
Normal,"['please', 'get', 'randy', 'resolve']"
Normal,"['please', 'call', 'credit', 'desk', 'received', 'power', 'thanks']"
Normal,"['kim', 'g', 'think', 'pay', 'demand', 'charge']"
Normal,"['think', 'steven', 'wolf', 'person', 'talk', 'moving', 'kim', 'different', 'code']"
Normal,"['still', 'issue']"
Normal,['mary']
Normal,"['curve', 'sent', 'later', 'want', 'involved', 'process', 'today', 'sorry', 'slow', 'turnaround']"
Normal,"['tara', 'note', 'documentation', 'approval', 'id', 'west', 'cash', 'trader', 'thank', 'help']"
Normal,['file']
Normal,"['resigned', 'today']"
Normal,"['frank', 'sell']"
Normal,"['number', 'actual', 'flow', 'x', 'gas', 'daily', 'spread', 'actual', 'flow', 'x', 'index', 'spread', 'value', 'original', 'bid', 'cost', 'unwind', 'hedge', 'based', 'number', 'suggest', 'offer', 'pay', 'least', 'want', 'input', 'negotiate', 'el', 'push', 'actual', 'value', 'seasonal', 'shape', 'unwind', 'cost']"
Normal,['mike']
Normal,[]
Normal,"['didnt', 'get', 'review', 'give', 'feedback', 'tomorrow', 'morning']"
Normal,"['tara', 'please', 'make', 'following', 'change', 'change', 'master', 'user', 'master', 'user', 'bob', 'mock', 'profile', 'please', 'make', 'change', 'noon', 'thank']"
Normal,"['received', 'enrollment', 'confirmation', 'class', 'sign', 'mistake']"
